sample_index,is_rectangular,has_multiple_time_nodes,has_time_nodes_without_restriction,has_murder_motives,has_multiple_weapons
1,True,False,False,False,True
2,False,False,False,False,True
3,True,False,False,True,True
4,True,False,False,True,True
5,True,False,False,False,True
6,True,True,False,True,True
7,True,False,False,False,True
8,True,True,False,True,True
9,True,False,False,True,True
10,True,True,False,True,True
11,True,True,False,True,True
12,True,True,False,True,True
13,True,True,False,True,True
14,True,True,False,True,True
15,True,False,False,True,True
16,True,False,False,True,True
17,True,True,False,True,True
18,True,True,False,True,True
19,True,True,False,True,True
20,True,True,False,True,True
21,True,True,False,True,True
22,True,True,False,True,True
23,True,True,False,True,True
24,True,True,False,True,True
25,True,True,False,False,True
26,True,True,False,True,True
27,True,True,False,True,True
28,True,True,False,False,True
29,True,True,False,True,True
30,True,True,False,True,True
31,True,True,False,False,True
32,True,True,True,True,True
33,True,True,False,True,True
34,True,True,False,True,True
35,True,True,False,True,True
36,True,True,False,True,True
37,True,True,False,False,True
38,True,True,False,True,True
39,True,True,True,False,True
40,True,True,False,True,True
41,True,False,False,True,True
42,True,False,False,True,True
43,True,True,False,True,True
44,True,False,False,True,True
45,True,True,False,False,True
46,True,False,False,False,True
47,True,False,False,False,True
48,True,False,False,True,True
49,True,False,False,True,True
50,True,False,False,True,True
51,True,True,False,True,True
52,True,False,False,True,True
53,True,True,False,True,True
54,True,True,False,True,True
55,True,True,False,True,True
56,True,False,False,True,True
57,True,True,False,False,True
58,True,False,False,True,True
59,True,True,False,False,True
60,True,True,False,False,True
61,True,True,False,True,True
62,False,True,True,True,True
63,True,True,False,True,True
64,True,True,False,False,True
65,True,True,False,True,True
66,True,True,True,True,True
67,True,True,True,True,True
68,False,True,True,False,True
69,True,True,False,True,True
70,True,True,False,False,True
71,True,True,False,True,True
72,False,True,True,True,True
73,True,True,False,True,True
74,False,True,True,True,True
75,False,True,False,True,True
76,True,True,False,False,True
77,False,True,True,False,True
78,True,True,False,True,True
79,True,True,False,False,True
80,True,True,False,True,True
81,False,False,False,False,True
82,True,True,False,True,True
83,True,False,False,True,True
84,True,False,False,False,True
85,True,False,False,False,True
86,False,False,False,True,True
87,True,False,False,True,True
88,True,False,False,True,True
89,True,False,False,False,True
90,True,False,False,True,True
91,True,False,False,True,True
92,True,True,False,True,True
93,True,False,False,True,True
94,True,True,True,False,True
95,True,True,False,True,True
96,True,True,False,True,True
97,True,True,False,True,True
98,True,True,False,True,True
99,True,True,False,True,True
100,True,True,False,True,True
101,True,True,False,True,True
102,True,True,False,True,True
103,True,True,True,False,True
104,True,True,False,True,True
105,True,True,False,True,True
106,True,True,False,True,True
107,True,True,False,True,True
108,True,True,False,True,True
109,True,True,False,True,True
110,True,True,False,True,True
111,True,True,False,True,True
112,True,True,False,True,True
113,True,True,False,True,True
114,True,True,False,True,True
115,True,True,False,True,True
116,True,True,False,True,True
117,True,True,False,True,True
118,True,True,False,False,True
119,True,True,False,True,True
120,True,True,False,True,True
121,True,False,False,False,True
122,False,False,False,True,True
123,True,True,False,False,True
124,True,True,False,True,True
125,True,False,False,False,True
126,True,False,False,True,True
127,True,False,False,True,True
128,True,False,False,True,True
129,True,False,False,True,True
130,False,False,False,True,True
131,False,True,True,False,True
132,True,True,False,True,True
133,True,True,False,True,True
134,True,True,False,True,True
135,True,False,False,True,True
136,True,True,False,True,True
137,True,True,False,True,True
138,True,True,False,True,True
139,True,True,True,True,True
140,True,True,False,False,True
141,True,True,False,True,True
142,True,True,False,True,True
143,True,True,False,True,True
144,True,True,False,True,True
145,False,True,False,True,True
146,False,True,True,True,True
147,True,True,False,True,True
148,True,True,False,True,True
149,True,True,True,False,True
150,True,True,False,True,True
151,True,True,True,True,True
152,False,True,False,True,True
153,False,True,True,True,True
154,True,True,False,False,True
155,False,True,True,False,True
156,True,True,False,False,True
157,False,True,True,True,True
158,True,True,True,False,True
159,True,True,False,True,True
160,True,True,False,True,True
161,True,False,False,True,True
162,True,False,False,True,True
163,True,False,False,True,True
164,True,False,False,True,True
165,True,True,False,False,True
166,True,False,False,True,True
167,True,False,False,False,True
168,True,False,False,True,True
169,True,False,False,True,True
170,True,False,False,True,True
171,True,True,False,True,True
172,True,False,False,True,True
173,True,True,False,True,True
174,True,True,False,False,True
175,True,True,False,False,True
176,True,True,False,True,True
177,True,True,False,True,True
178,True,True,False,True,True
179,True,True,False,False,True
180,True,True,False,True,True
181,False,True,False,True,True
182,True,True,False,True,True
183,True,True,False,True,True
184,True,True,False,True,True
185,True,True,False,True,True
186,True,True,False,True,True
187,True,True,False,True,True
188,False,True,False,True,True
189,True,True,False,True,True
190,True,True,False,True,True
191,True,True,False,True,True
192,True,True,False,True,True
193,True,True,False,True,True
194,True,True,False,True,True
195,True,True,False,True,True
196,True,True,False,True,True
197,True,True,False,True,True
198,True,True,False,True,True
199,True,True,False,True,True
200,True,True,False,True,True
